competition_id,category,dataset_size_GB,EnabledDate,DeadlineDate,Complexity
tabular-playground-series-dec-2021,Tabular  ,0.7,12/1/2021,12/31/2021,Low
tabular-playground-series-may-2022,Tabular  ,0.57,5/1/2022,5/31/2022,Low
tensorflow-speech-recognition-challenge,Audio Classification  ,3.76,11/15/2017,1/16/2018,Medium
tensorflow2-question-answering,Text (Other)  ,17.47,10/28/2019,1/22/2020,Medium
text-normalization-challenge-english-language,Sequence to Sequence  ,0.01,9/5/2017,11/20/2017,Low
text-normalization-challenge-russian-language,Sequence to Sequence  ,0.01,9/5/2017,11/20/2017,Low
tgs-salt-identification-challenge,Image Segmentation  ,0.5,7/19/2018,10/19/2018,Medium
the-icml-2013-whale-challenge-right-whale-redux,Audio Classification  ,0.29314,5/10/2013,6/17/2013,Low
tweet-sentiment-extraction,Text Classification  ,0.003,3/23/2020,6/16/2020,Medium
us-patent-phrase-to-phrase-matching,Text (Other)  ,0.00214,3/21/2022,6/20/2022,Medium
uw-madison-gi-tract-image-segmentation,Image Segmentation  ,2.47,14/4/2022,15/07/2022,Medium
ventilator-pressure-prediction,Forecasting  ,0.7,9/22/2021,11/3/2021,Medium
vesuvius-challenge-ink-detection,Image to Image  ,37.02,3/15/2023,6/14/2023,High
vinbigdata-chest-xray-abnormalities-detection,Object Detection  ,205.96,12/30/2020,3/30/2021,High
whale-categorization-playground,Image Classification  ,0.72674,1/10/2018,7/9/2018,Medium
